Found existing dataset: /home/users/rszymanski/Traffic_Forecast/data/dataset.npz
X_train shape: (1261, 36, 48)
Y_train shape: (1261, 36)
FINAL TRAINING MODE: full dataset, no early stopping.
Total parameters: 13025
epoch 001 FINAL | train=0.2294
epoch 002 FINAL | train=0.1038
epoch 003 FINAL | train=0.0594
epoch 004 FINAL | train=0.0458
epoch 005 FINAL | train=0.0409
epoch 006 FINAL | train=0.0382
epoch 007 FINAL | train=0.0365
epoch 008 FINAL | train=0.0350
epoch 009 FINAL | train=0.0342
epoch 010 FINAL | train=0.0321
epoch 011 FINAL | train=0.0314
epoch 012 FINAL | train=0.0307
epoch 013 FINAL | train=0.0311
epoch 014 FINAL | train=0.0295
epoch 015 FINAL | train=0.0295
epoch 016 FINAL | train=0.0287
epoch 017 FINAL | train=0.0299
epoch 018 FINAL | train=0.0286
epoch 019 FINAL | train=0.0276
epoch 020 FINAL | train=0.0272
epoch 021 FINAL | train=0.0272
epoch 022 FINAL | train=0.0272
epoch 023 FINAL | train=0.0271
epoch 024 FINAL | train=0.0263
epoch 025 FINAL | train=0.0267
epoch 026 FINAL | train=0.0268
epoch 027 FINAL | train=0.0274
epoch 028 FINAL | train=0.0254
epoch 029 FINAL | train=0.0257
epoch 030 FINAL | train=0.0254
epoch 031 FINAL | train=0.0256
epoch 032 FINAL | train=0.0245
epoch 033 FINAL | train=0.0252
epoch 034 FINAL | train=0.0249
epoch 035 FINAL | train=0.0244
epoch 036 FINAL | train=0.0252
epoch 037 FINAL | train=0.0247
epoch 038 FINAL | train=0.0240
epoch 039 FINAL | train=0.0244
epoch 040 FINAL | train=0.0242
epoch 041 FINAL | train=0.0242
epoch 042 FINAL | train=0.0234
epoch 043 FINAL | train=0.0237
epoch 044 FINAL | train=0.0243
epoch 045 FINAL | train=0.0237
epoch 046 FINAL | train=0.0241
epoch 047 FINAL | train=0.0248
epoch 048 FINAL | train=0.0237
epoch 049 FINAL | train=0.0238
epoch 050 FINAL | train=0.0241
epoch 051 FINAL | train=0.0231
epoch 052 FINAL | train=0.0227
epoch 053 FINAL | train=0.0229
epoch 054 FINAL | train=0.0232
epoch 055 FINAL | train=0.0231
epoch 056 FINAL | train=0.0231
epoch 057 FINAL | train=0.0227
epoch 058 FINAL | train=0.0233
epoch 059 FINAL | train=0.0231
epoch 060 FINAL | train=0.0231
epoch 061 FINAL | train=0.0225
epoch 062 FINAL | train=0.0226
epoch 063 FINAL | train=0.0223
epoch 064 FINAL | train=0.0224
epoch 065 FINAL | train=0.0220
epoch 066 FINAL | train=0.0220
epoch 067 FINAL | train=0.0218
epoch 068 FINAL | train=0.0220
epoch 069 FINAL | train=0.0222
epoch 070 FINAL | train=0.0224
epoch 071 FINAL | train=0.0215
epoch 072 FINAL | train=0.0219
epoch 073 FINAL | train=0.0224
epoch 074 FINAL | train=0.0220
epoch 075 FINAL | train=0.0221
epoch 076 FINAL | train=0.0219
epoch 077 FINAL | train=0.0220
epoch 078 FINAL | train=0.0220
epoch 079 FINAL | train=0.0217
epoch 080 FINAL | train=0.0219
epoch 081 FINAL | train=0.0217
epoch 082 FINAL | train=0.0219
epoch 083 FINAL | train=0.0219
epoch 084 FINAL | train=0.0220
epoch 085 FINAL | train=0.0217
epoch 086 FINAL | train=0.0214
epoch 087 FINAL | train=0.0217
epoch 088 FINAL | train=0.0220
epoch 089 FINAL | train=0.0215
epoch 090 FINAL | train=0.0211
epoch 091 FINAL | train=0.0215
epoch 092 FINAL | train=0.0213
epoch 093 FINAL | train=0.0217
epoch 094 FINAL | train=0.0218
epoch 095 FINAL | train=0.0210
epoch 096 FINAL | train=0.0210
epoch 097 FINAL | train=0.0215
epoch 098 FINAL | train=0.0212
epoch 099 FINAL | train=0.0209
epoch 100 FINAL | train=0.0212
epoch 101 FINAL | train=0.0211
epoch 102 FINAL | train=0.0219
epoch 103 FINAL | train=0.0217
epoch 104 FINAL | train=0.0213
epoch 105 FINAL | train=0.0209
epoch 106 FINAL | train=0.0216
epoch 107 FINAL | train=0.0215
epoch 108 FINAL | train=0.0211
epoch 109 FINAL | train=0.0215
epoch 110 FINAL | train=0.0207
epoch 111 FINAL | train=0.0209
epoch 112 FINAL | train=0.0210
epoch 113 FINAL | train=0.0208
epoch 114 FINAL | train=0.0210
epoch 115 FINAL | train=0.0215
epoch 116 FINAL | train=0.0209
epoch 117 FINAL | train=0.0205
epoch 118 FINAL | train=0.0208
epoch 119 FINAL | train=0.0209
epoch 120 FINAL | train=0.0212
Saved model to /home/users/rszymanski/Traffic_Forecast/runs/final_cnn1dgcn32.pth  (best RMSE=inf)
Finished run: final_cnn1dgcn32
Saved model: /home/users/rszymanski/Traffic_Forecast/runs/final_cnn1dgcn32.pth
